配置项,选项值,排序,备注
部门,化学检测部,1,
部门,物理检测部,2,
部门,设备管理部,3,
部门,质量管理部,4,
部门,行政综合部,5,
岗位,检测工程师,1,
岗位,质量负责人,2,
岗位,设备管理员,3,
岗位,文件管理员,4,
岗位,人事专员,5,
岗位,实验室主任,6,
岗位,技术负责人,7,
检测领域,水质检测-理化指标,1,pH/电导率/硬度等
检测领域,水质检测-有机物指标,2,VOCs/SVOCs等
检测领域,水质检测-微生物指标,3,菌落总数/大肠菌群等
检测领域,水质检测-重金属指标,4,铅/镉/汞/砷等
检测领域,食品检测-营养成分,5,蛋白质/脂肪/水分等
检测领域,食品检测-农残检测,6,有机磷/有机氯等
检测领域,食品检测-添加剂检测,7,防腐剂/色素等
检测领域,材料检测-力学性能,8,拉伸/弯曲/冲击等
检测领域,材料检测-化学成分,9,C/Si/Mn等
检测领域,环境检测-空气,10,PM2.5/甲醛等
检测领域,环境检测-土壤,11,重金属/有机物等
设备状态,在用,1,
设备状态,停用,2,
设备状态,报废,3,
设备状态,维修中,4,
设备状态,外出,5,
质控类型,实验室间比对,1,
质控类型,能力验证,2,
质控类型,留样再测,3,
质控类型,加标回收,4,
质控类型,人员比对,5,
质控类型,设备比对,6,
质控类型,平行样,7,
质控类型,控制图,8,
不符合来源,内审,1,
不符合来源,管评,2,
不符合来源,日常监督,3,
不符合来源,客户投诉,4,
不符合来源,能力验证不满意,5,
不符合来源,外部评审,6,
不符合来源,自我发现,7,
闭环状态,待分析,1,
闭环状态,措施制定中,2,
闭环状态,实施中,3,
闭环状态,待验证,4,
闭环状态,已关闭,5,
文件层级,一级手册,1,
文件层级,二级程序,2,
文件层级,三级SOP,3,
文件层级,四级记录,4,
文件状态,现行有效,1,
文件状态,修订中,2,
文件状态,废止,3,
文件状态,待发布,4,
样品状态,待检,1,
样品状态,在检,2,
样品状态,检毕,3,
样品状态,留样,4,
样品状态,已处置,5,
报告状态,编制中,1,
报告状态,待审批,2,
报告状态,已批准,3,
报告状态,已发放,4,
报告状态,已更改,5,
CNAS章节,4.1 组织,1,
CNAS章节,4.2 诚信性,2,
CNAS章节,4.3 保密性,3,
CNAS章节,4.4 公正性,4,
CNAS章节,5.1 通用要求,5,
CNAS章节,5.2 质量目标,6,
CNAS章节,5.3 实验室内部沟通,7,
CNAS章节,6.1 总则,8,
CNAS章节,6.2 人员,9,
CNAS章节,6.3 设施和环境条件,10,
CNAS章节,6.4 设备,11,
CNAS章节,6.5 计量溯源,12,
CNAS章节,6.6 外部提供的产品和服务,13,
CNAS章节,7.1 要求标书和合同评审,14,
CNAS章节,7.2 方法,15,
CNAS章节,7.3 抽样,16,
CNAS章节,7.4 检测物品处置,17,
CNAS章节,7.5 技术记录,18,
CNAS章节,7.6 测量不确定度,19,
CNAS章节,7.7 结果有效性,20,
CNAS章节,7.8 报告,21,
CNAS章节,7.9 投诉,22,
CNAS章节,7.10 不符合工作,23,
CNAS章节,7.11 数据控制和信息管理,24,
CNAS章节,8.1 总则,25,
CNAS章节,8.2 管理体系方式,26,
CNAS章节,8.3 文件控制,27,
CNAS章节,8.4 记录控制,28,
CNAS章节,8.5 应对风险和机遇,29,
CNAS章节,8.6 改进,30,
CNAS章节,8.7 纠正措施,31,
CNAS章节,8.8 内部审核,32,
CNAS章节,8.9 管理评审,33,
储存条件,室温,1,
储存条件,冷藏(2-8度),2,
储存条件,冷冻(-20度),3,
储存条件,其他,4,
